level_0,index,team,code,name,surname,laps,time,grand_prix,date,year
2,C,Mercedes,ROS,Nico,Rosberg,56,38:53.9,                         China                     ,17-Apr-16,2016
3,D,Mercedes,ROS,Nico,Rosberg,53,32:42.0,                         Russia                     ,01-May-16,2016
4,E,Red Bull Racing TAG Heuer,VES,Max,Verstappen,66,41:40.0,                         Spain                     ,15-May-16,2016
5,F,Mercedes,HAM,Lewis,Hamilton,78,59:29.1,                         Monaco                     ,29-May-16,2016
6,G,Mercedes,HAM,Lewis,Hamilton,70,31:05.3,                         Canada                     ,12-Jun-16,2016
7,H,Mercedes,ROS,Nico,Rosberg,51,32:52.4,                         Europe                     ,19-Jun-16,2016
8,J,Mercedes,HAM,Lewis,Hamilton,71,27:38.1,                         Austria                     ,03-Jul-16,2016
9,K,Mercedes,HAM,Lewis,Hamilton,52,34:55.8,                         Great Britain                     ,10-Jul-16,2016
10,L,Mercedes,HAM,Lewis,Hamilton,70,40:30.1,                         Hungary                     ,24-Jul-16,2016
11,I,Mercedes,HAM,Lewis,Hamilton,67,30:44.2,                         Germany                     ,31-Jul-16,2016
12,M,Mercedes,ROS,Nico,Rosberg,44,44:51.1,                         Belgium                     ,28-Aug-16,2016
13,P,Mercedes,ROS,Nico,Rosberg,53,17:28.1,                         Italy                     ,04-Sep-16,2016
14,R,Mercedes,ROS,Nico,Rosberg,61,55:49.0,                         Singapore                     ,18-Sep-16,2016
15,S,Red Bull Racing TAG Heuer,RIC,Daniel,Ricciardo,56,37:12.8,                         Malaysia                     ,02-Oct-16,2016
16,V,Mercedes,ROS,Nico,Rosberg,53,26:43.3,                         Japan                     ,09-Oct-16,2016
17,X,Mercedes,HAM,Lewis,Hamilton,56,38:12.6,                         United States                      ,23-Oct-16,2016
18,Q,Mercedes,HAM,Lewis,Hamilton,71,40:31.4,                         Mexico                     ,30-Oct-16,2016
19,Y,Mercedes,HAM,Lewis,Hamilton,71,01:01.3,                         Brazil                     ,13-Nov-16,2016
20,Z,Mercedes,HAM,Lewis,Hamilton,55,38:04.0,                         Abu Dhabi                     ,27-Nov-16,2016
0,A,Ferrari,VET,Sebastian,Vettel,57,24:11.7,                         Australia                     ,26-Mar-17,2017
1,B,Mercedes,HAM,Lewis,Hamilton,56,37:36.2,                         China                     ,09-Apr-17,2017
2,C,Ferrari,VET,Sebastian,Vettel,57,33:53.4,                         Bahrain                     ,16-Apr-17,2017
3,D,Mercedes,BOT,Valtteri ,Bottas,52,28:08.7,                         Russia                     ,30-Apr-17,2017
4,E,Mercedes,HAM,Lewis,Hamilton,66,35:56.5,                         Spain                     ,14-May-17,2017
5,F,Ferrari,VET,Sebastian,Vettel,78,44:44.3,                         Monaco                     ,28-May-17,2017
6,G,Mercedes,HAM,Lewis,Hamilton,70,33:05.2,                         Canada                     ,11-Jun-17,2017
7,H,Red Bull Racing TAG Heuer,RIC,Daniel,Ricciardo,51,03:55.6,                         Azerbaijan                     ,25-Jun-17,2017
8,J,Mercedes,BOT,Valtteri ,Bottas,71,21:48.5,                         Austria                     ,09-Jul-17,2017
9,K,Mercedes,HAM,Lewis,Hamilton,51,21:27.4,                         Great Britain                     ,16-Jul-17,2017
10,L,Ferrari,VET,Sebastian,Vettel,70,39:46.7,                         Hungary                     ,30-Jul-17,2017
11,I,Mercedes,HAM,Lewis,Hamilton,44,24:42.8,                         Belgium                     ,27-Aug-17,2017
12,M,Mercedes,HAM,Lewis,Hamilton,53,15:32.3,                         Italy                     ,03-Sep-17,2017
13,P,Mercedes,HAM,Lewis,Hamilton,58,03:23.5,                         Singapore                     ,17-Sep-17,2017
